English name,Chinese name,email domain
Buddhist Wong Wan Tin College,佛教黃允畋中學,bwwtc.edu.hk
Buddhist Yip Kei Nam Memorial College,佛教葉紀南紀念中學,ykn.edu.hk
Canossa College,嘉諾撒書院,canossa.edu.hk
Caritas Chai Wan Marden Foundation Secondary School,明愛柴灣馬登基金中學,ccmss.edu.hk
Caritas Chong Yuet Ming Secondary School,明愛莊月明中學,ccym.edu.hk
Caritas Fanling Chan Chun Ha Secondary School,明愛粉嶺陳震夏中學,cfs.edu.hk
Caritas Ma On Shan Secondary School,明愛馬鞍山中學,cmos.edu.hk
Caritas St. Joseph Secondary School,明愛聖若瑟中學,csjss.edu.hk
Caritas Tuen Mun Marden Foundation Secondary School,明愛屯門馬登基金中學,tmmarden.edu.hk
Caritas Wu Cheng-Chung College,明愛胡振中書院,cwcc.edu.hk
Caritas Yuen Long Chan Chun Ha Secondary School,明愛元朗陳震夏中學,cys.edu.hk
Carmel Alison Lam Foundation Secondary School,迦密愛禮信中學,calfss.edu.hk
Carmel Bunnan Tong Memorial Secondary School,迦密唐賓南紀念中學,cbt.edu.hk
Carmel Divine Grace Foundation Secondary School,迦密主恩中學,school.cdgfss.edu.hk
Carmel Holy Word Secondary School,迦密聖道中學,chw.edu.hk
Carmel Pak U Secondary School,迦密柏雨中學,cpu.edu.hk
Carmel Secondary School,迦密中學,carmelss.edu.hk
Catholic Ming Yuen Secondary School,天主教鳴遠中學,mingyuen.edu.hk
CCC Chuen Yuen College,中華基督教會全完中學,chuenyuen.edu.hk
CCC Fong Yun Wah Secondary School,中華基督教會方潤華中學,fywss.edu.hk
CCC Fung Leung Kit Memorial Secondary School,中華基督教會馮梁結紀念中學,flk.edu.hk
CCC Heep Woh College,中華基督教會協和書院,ccchwc.edu.hk
CCC Hoh Fuk Tong College,中華基督教會何福堂書院,hftc.edu.hk
CCC Kei Chi Secondary School,中華基督教會基智中學,keichi.edu.hk
CCC Kei Heep Secondary School,中華基督教會基協中學,keiheep.edu.hk
CCC Kei Long College,中華基督教會基朗中學,keilong.edu.hk
CCC Kei San Secondary School,中華基督教會基新中學,ks.edu.hk
CCC Kei To Secondary School,中華基督教會基道中學,ccckeito.edu.hk
CCC Kei Yuen College,中華基督教會基元中學,ccckyc.edu.hk
CCC Kung Lee College,中華基督教會公理書院,cccklc.edu.hk
CCC Kwei Wah Shan College,中華基督教會桂華山中學,ccckws.edu.hk
CCC Ming Kei College,中華基督教會銘基書院,cccmkc.edu.hk
CCC Ming Yin College,中華基督教會銘賢書院,cccmyc.edu.hk
CCC Mong Man Wai College,中華基督教會蒙民偉書院,cccmmwc.edu.hk
CCC Rotary Secondary School,中華基督教會扶輪中學,rotary.edu.hk
CCC Tam Lee Lai Fun Memorial Secondary School,中華基督教會譚李麗芬紀念中學,tllf.edu.hk
CCC Yenching College,中華基督教會燕京書院,yenching.edu.hk
Chan Sui Ki (La Salle) College,陳瑞祺（喇沙）書院,csklsc.edu.hk
Cheng Chek Chee Secondary School of SK & HH District N.T.,新界西貢坑口區鄭植之中學,cccss.edu.hk
Cheung Chau Government Secondary School,長洲官立中學,ccgss.edu.hk
Cheung Chuk Shan College,張祝珊英文中學,live.ccsc.edu.hk
Cheung Sha Wan Catholic Secondary School,長沙灣天主教英文中學,cswcss.edu.hk
Chi Lin Buddhist Secondary School,佛教志蓮中學,clbss.edu.hk
China Holiness Church Living Spirit College,中華聖潔會靈風中學,lsc.edu.hk
China Holiness College,中聖書院,chc.edu.hk
Chinese Y.M.C.A. College,青年會書院,cymcac.edu.hk
Chinese Y.M.C.A. Secondary School,中華基督教青年會中學,cymcass.edu.hk
Ching Chung Hau Po Woon Secondary School,青松侯寶垣中學,cchpwss.edu.hk
Chiu Chow Association Secondary School,潮州會館中學,ccass.edu.hk
Choi Hung Estate Catholic Secondary School,彩虹邨天主教英文中學,choihung.edu.hk
Choi Hung Estate Catholic Secondary School,彩虹邨天主教英文中學,student.choihung.edu.hk
Chong Gene Hang College,張振興伉儷書院,cghc.edu.hk
Christ College,基督書院,christcollege.edu.hk
Christian & Missionary Alliance Sun Kei Secondary School,基督教宣道會宣基中學,skss.edu.hk
Christian Alliance Cheng Wing Gee College,香港九龍塘基督教中華宣道會鄭榮之中學,teacher.cwgc.edu.hk
Christian Alliance Cheng Wing Gee College,香港九龍塘基督教中華宣道會鄭榮之中學,student.cwgc.edu.hk
Christian Alliance College,宣道中學,cactm.edu.hk
Christian Alliance S W Chan Memorial College,宣道會陳朱素華紀念中學,caswcmc.edu.hk
Christian Alliance S. C. Chan Memorial College,香港九龍塘基督教中華宣道會陳瑞芝紀念中學,scc.edu.hk
Chung Sing Benevolent Society Mrs. Aw Boon Haw Secondary School,鐘聲慈善社胡陳金枝中學,csbs.edu.hk
CMA Choi Cheung Kok Secondary School,廠商會蔡章閣中學,cmacck.edu.hk
CMA Secondary School,廠商會中學,cmass.edu.hk
CNEC Christian College,中華傳道會安柱中學,cneccc.edu.hk
CNEC Lau Wing Sang Secondary School,中華傳道會劉永生中學,lws.edu.hk
CNEC Lee I Yao Memorial Secondary School,中華傳道會李賢堯紀念中學,vclass.liymss.edu.hk
Cognitio College (HK),文理書院（香港）,cognitiohk.edu.hk
Cognitio College (Kowloon),文理書院（九龍）,cckln.edu.hk
Concordia Lutheran School,路德會協同中學,cls.edu.hk
Concordia Lutheran School - North Point,北角協同中學,clsnp.edu.hk
Confucian Tai Shing Ho Kwok Pui Chun College,孔教學院大成何郭佩珍中學,ctshkpcc.net
Cotton Spinners Association Secondary School,棉紡會中學,csa.edu.hk
CUHK FAA Thomas Cheung Secondary School,香港中文大學校友會聯會張煊昌中學,tcss.edu.hk
CUHKFAA Chan Chun Ha Secondary School,香港中文大學校友會聯會陳震夏中學,cch.edu.hk
Cumberland Presbyterian Church Yao Dao Secondary School,金巴崙長老會耀道中學,cpcydss.edu.hk
Daughters of Mary Help of Christians Siu Ming Catholic Secondary School,天主教母佑會蕭明中學,dmhcsm.edu.hk
De La Salle Secondary School NT,新界喇沙中學,delasalle.edu.hk
ECF Saint Too Canaan College,基督教中國佈道會聖道迦南書院,stcc.edu.hk
ELCHK Lutheran Secondary School,基督教香港信義會信義中學,lss.edu.hk
Evangel College,播道書院,evangel.edu.hk
Fanling Kau Yan College,粉嶺救恩書院,fkyc.edu.hk
Fanling Lutheran Secondary School,基督教香港信義會心誠中學,flss.edu.hk
Fanling Rhenish Church Secondary School,粉嶺禮賢會中學,frcss.edu.hk
FDBWA Szeto Ho Secondary School,五邑司徒浩中學,szetoho.edu.hk
Fortress Hill Methodist Secondary School,炮台山循道衛理中學,fhms.edu.hk
Fukien Secondary School,福建中學,fms.edu.hk
Fukien Secondary School (Siu Sai Wan),福建中學（小西灣）,fss.edu.hk
Fung Kai Liu Man Shek Tong Secondary School,鳳溪廖萬石堂中學,fklmstss.edu.hk
Fung Kai No. 1 Secondary School,鳳溪第一中學,fk1ss.edu.hk
GCC&ITKD Lau Pak Lok Secondary School,東莞工商總會劉百樂中學,lplss.edu.hk
Gertrude Simon Lutheran College,路德會西門英才中學,mail.gslc.edu.hk
Good Hope School,德望學校,ghs.edu.hk
Heep Yunn School,協恩中學,hys.edu.hk
Helen Liang Memorial Secondary School (Shatin),梁文燕紀念中學（沙田）,mail.hlmssst.edu.hk
Henrietta Secondary School,顯理中學,henrietta.edu.hk
Heung To Middle School,香島中學,heungto.edu.hk
Heung To Middle School (Tin Shui Wai),天水圍香島中學,heungto.net
Heung To Secondary School (Tseung Kwan O),將軍澳香島中學,htss.edu.hk
HHCKLA Buddhist Ching Kok Secondary School,香海正覺蓮社佛教正覺中學,bckss.edu.hk
HHCKLA Buddhist Leung Chik Wai College,香海正覺蓮社佛教梁植偉中學,blcwc.edu.hk
HHCKLA Buddhist Ma Kam Chan Memorial English Secondary School,香海正覺蓮社佛教馬錦燦紀念英文中學,bmkc.edu.hk
HK & KLN Chiu Chow Public Assn. Sec. School,港九潮州公會中學,ccpass.edu.hk
HK & KLN Kaifong Women's Association Sun Fong Chung College,港九街坊婦女會孫方中書院,sunfc.edu.hk
HKCWC Fung Yiu King Memorial Secondary School,香港中國婦女會馮堯敬紀念中學,fyk.edu.hk
HKFEW Wong Cho Bau Secondary School,香港教育工作者聯會黃楚標中學,wcbss.edu.hk
HKICC Lee Shau Kee School of Creativity,香港兆基創意書院 (李兆基基金會贊助、香港當代文化中心主辦),creativehk.edu.hk
HKMA David Li Kwok Po College,香港管理專業協會李國寶中學,hkmadavidli.edu.hk
HKMLC Queen Maud Secondary School,港澳信義會慕德中學,qmss.edu.hk
HKSKH Bishop Hall Secondary School,香港聖公會何明華會督中學,go.bhss.edu.hk
HKSYC & IA Chan Nam Chong Memorial College,香港四邑商工總會陳南昌紀念中學,cnc.edu.hk
HKSYC & IA Wong Tai Shan Memorial College,香港四邑商工總會黃棣珊紀念中學,wtsmc.edu.hk
HKTA The Yuen Yuen Institute No. 1 Secondary School,香港道教聯合會圓玄學院第一中學,yy1.edu.hk
HKWMA Chu Shek Lun Secondary School,香港布廠商會朱石麟中學,chusheklun.edu.hk
Ho Dao College (Sponsored by Sik Sik Yuen),可道中學（嗇色園主辦）,hodao.edu.hk
Ho Fung College (Sponsored by Sik Sik Yuen),可風中學（嗇色園主辦）,hofung.edu.hk
Ho Lap College (Sponsored by the Sik Sik Yuen),可立中學（嗇色園主辦）,holap.edu.hk
Ho Ngai College (Sponsored by Sik Sik Yuen),嗇色園主辦可藝中學,hongai.edu.hk
Ho Yu College and Primary School (Sponsored by Sik Sik Yuen),嗇色園主辦可譽中學暨可譽小學,hoyu.edu.hk
Hoi Ping Chamber of Commerce Secondary School,旅港開平商會中學,hpccss.edu.hk
Holy Family Canossian College,嘉諾撒聖家書院,hfcc.edu.hk
Holy Trinity College,寶血會上智英文書院,htc.edu.hk
Homantin Government Secondary School,何文田官立中學,hmtgss.edu.hk
Hon Wah College,漢華中學,honwah.edu.hk
Hong Kong Chinese Women's Club College,香港中國婦女會中學,hkcwcc.edu.hk
Hong Kong Red Swastika Society Tai Po Secondary School,香港紅卍字會大埔卍慈中學,hkrsstpss.edu.hk
Hong Kong Sea School,香港航海學校,hkss.edu.hk
Hong Kong Tang King Po College,香港鄧鏡波書院,hktkpc.edu.hk
Hong Kong Taoist Association Tang Hin Memorial Secondary School,香港道教聯合會鄧顯紀念中學,tanghin.edu.hk
Hong Kong Taoist Association The Yuen Yuen Institute No. 2 Secondary Sch.,香港道教聯合會圓玄學院第二中學,yy2.edu.hk
Hong Kong Taoist Association The Yuen Yuen Institute No. 3 Secondary Sch.,香港道教聯合會圓玄學院第三中學,hktayy3.edu.hk
Hong Kong Teachers' Association Lee Heng Kwei Secondary School,香港教師會李興貴中學,hktalhk.edu.hk
Hotung Secondary School,何東中學,hotungss.edu.hk
Immaculate Heart of Mary College,聖母無玷聖心書院,ihmc.edu.hk
Islamic Kasim Tuet Memorial College,伊斯蘭脫維善紀念中學,learn.iktmc.edu.hk
Jockey Club Man Kwan EduYoung College,賽馬會萬鈞毅智書院,jcmkec.edu.hk
Jockey Club Ti-I College,賽馬會體藝中學,tic.edu.hk
Ju Ching Chu Secondary School (Kwai Chung),裘錦秋中學（葵涌）,jccsskc.edu.hk
Ju Ching Chu Secondary School (Tuen Mun),裘錦秋中學（屯門）,jcctm.edu.hk
Ju Ching Chu Secondary School (Yuen Long),裘錦秋中學（元朗）,jccssyl.edu.hk
Kau Yan College,救恩書院,kyc.edu.hk
Kiangsu - Chekiang College (Kwai Chung),葵涌蘇浙公學,kcckc.edu.hk
Kiangsu-Chekiang College,蘇浙公學,m.kcc.edu.hk
Kiangsu-Chekiang College (Shatin),沙田蘇浙公學,kccshatin.edu.hk
King Ling College,景嶺書院,kingling.edu.hk
King's College,英皇書院,kings.edu.hk
Kit Sam Lam Bing Yim Secondary School,潔心林炳炎中學,kitsam.edu.hk
Ko Lui Secondary School,高雷中學,klss.edu.hk
Kowloon Sam Yuk Secondary School,九龍三育中學,ksyss.edu.hk
Kowloon Technical School,九龍工業學校,kts.edu.hk
Kowloon Tong School (Secondary Section),九龍塘學校（中學部）,ktsss.edu.hk
Kowloon True Light School,九龍真光中學,ktls.edu.hk
Kwai Chung Methodist College,葵涌循道中學,kcmc.edu.hk
Kwok Tak Seng Catholic Secondary School,天主教郭得勝中學,ktscss.edu.hk
Kwun Tong Government Secondary School,觀塘官立中學,email.ktgss.edu.hk
Kwun Tong Maryknoll College,觀塘瑪利諾書院,ktmc.edu.hk
La Salle College,喇沙書院,lasalle.edu.hk
Lai Chack Middle School,麗澤中學,lcms.edu.hk
Lai King Catholic Secondary School,荔景天主教中學,lkcss.edu.hk
Lam Tai Fai College,林大輝中學,ltfc.edu.hk
Law Ting Pong Secondary School,羅定邦中學,ltpss.edu.hk
Lee Kau Yan Memorial School,李求恩紀念中學,gs.lkyms.edu.hk
Leung Shek Chee College,梁式芝書院,lscc.edu.hk
Ling Liang Church E Wun Secondary School,靈糧堂怡文中學,llcew.edu.hk
Ling Liang Church M H Lau Secondary School,靈糧堂劉梅軒中學,llcmhlau.edu.hk
Lingnan Dr. Chung Wing Kwong Memorial Secondary School,嶺南鍾榮光博士紀念中學,ldcwkmss.edu.hk
Lingnan Hang Yee Memorial Secondary School,嶺南衡怡紀念中學,lhymss.net
Lingnan Secondary School,嶺南中學,lingnan.edu.hk
Lions Clubs International Tseung Chui King College,獅子會蔣翠琼中學,lcitckc.edu.hk
Liu Po Shan Memorial College,廖寶珊紀念書院,lpsmc.edu.hk
Lock Tao Secondary School,樂道中學,locktao.edu.hk
Lok Sin Tong Ku Chiu Man Secondary School,樂善堂顧超文中學,lstkcmss.edu.hk
Lok Sin Tong Leung Chik Wai Memorial School,樂善堂梁植偉紀念中學,lstlcw.edu.hk
Lok Sin Tong Leung Kau Kui College,樂善堂梁銶琚書院,lstlkkc.edu.hk
Lok Sin Tong Wong Chung Ming Secondary School,樂善堂王仲銘中學,lstwcm.edu.hk
Lok Sin Tong Young Ko Hsiao Lin Secondary School,樂善堂楊葛小琳中學,lstyoungkhl.edu.hk
Lok Sin Tong Yu Kan Hing Secondary School,樂善堂余近卿中學,ykh.edu.hk
Lui Cheung Kwong Lutheran College,路德會呂祥光中學,lck.edu.hk
Lui Ming Choi Lutheran College,路德會呂明才中學,llc.edu.hk
Lung Kong WFSL Lau Wong Fat Secondary School,世界龍岡學校劉皇發中學,lwfss.edu.hk
Ma On Shan Tsung Tsin Secondary School,馬鞍山崇真中學,mosttss.edu.hk
Madam Lau Kam Lung Secondary School of Miu Fat Buddhist Monastery,妙法寺劉金龍中學,lkl.edu.hk
Man Kiu College,閩僑中學,mkc.edu.hk
Man Kwan Pak Kau College,萬鈞伯裘書院,mkpc.edu.hk
Man Kwan QualiEd College,萬鈞匯知中學,mkqc.edu.hk
Maryknoll Convent School (Secondary Section),瑪利諾修院學校（中學部）,mcs.edu.hk
Maryknoll Fathers' School,瑪利諾神父教會學校,mfs.edu.hk
Maryknoll Secondary School,瑪利諾中學,maryknoll.edu.hk
Marymount Secondary School,瑪利曼中學,mss.edu.hk
Methodist College,循道中學,mckln.edu.hk
MKMCF Ma Chan Duen Hey Memorial College,馬錦明慈善基金馬陳端喜紀念中學,mcdhmc.edu.hk
Mu Kuang English School,慕光英文書院,mukuang.edu.hk
Munsang College,民生書院,munsang.edu.hk
Munsang College (Hong Kong Island),港島民生書院,imsc.edu.hk
Nam Wah Catholic Secondary School,天主教南華中學,nwcss.edu.hk
New Asia Middle School,新亞中學,nams.edu.hk
Newman Catholic College,天主教新民書院,newman.edu.hk
Ng Wah Catholic Secondary School,天主教伍華中學,ngwahsec.edu.hk
Ng Yuk Secondary School,五育中學,nyss.edu.hk
Ning Po College,寧波公學,npc.edu.hk
Ning Po No. 2 College,寧波第二中學,np2c.edu.hk
NLSI Lui Kwok Pat Fong College,新生命教育協會呂郭碧鳳中學,lkpfc.edu.hk
NLSI Peace Evangelical Secondary School,新生命教育協會平安福音中學,nlsipess.edu.hk
Notre Dame College,獻主會聖母院書院,ndc.edu.hk
Our Lady of The Rosary College,聖母玫瑰書院,olr.edu.hk
Our Lady's College,聖母書院,olc.edu.hk
PAOC Ka Chi Secondary School,加拿大神召會嘉智中學,kachi.edu.hk
Pentecostal Lam Hon Kwong School,五旬節林漢光中學,lamhonkwong.edu.hk
PHC Wing Kwong College,五旬節聖潔會永光書院,wingkwong.edu.hk
PLK Laws Foundation College,保良局羅氏基金中學,plklfc.edu.hk
PLK Mrs. Ma Kam Ming-Cheung Fook Sien College,保良局馬錦明夫人章馥仙中學,plkcfs.edu.hk
Po Chiu Catholic Secondary School,天主教普照中學,pochiu.edu.hk
Po Kok Secondary School,寶覺中學,pokok.edu.hk
Po Leung Kuk C. W. Chu College,保良局朱敬文中學,plkcwc.edu.hk
Po Leung Kuk Celine Ho Yam Tong College,保良局何蔭棠中學,plkchc.edu.hk
Po Leung Kuk Centenary Li Shiu Chung Memorial College,保良局百周年李兆忠紀念中學,plkc.edu.hk
Po Leung Kuk Ho Yuk Ching (1984) College,保良局甲子何玉清中學,plkhyc1984.edu.hk
Po Leung Kuk Lee Shing Pik College,保良局李城璧中學,plklsp.edu.hk
Po Leung Kuk Lo Kit Sing (1983) College,保良局羅傑承（一九八三）中學,plk83.edu.hk
Po Leung Kuk Ma Kam Ming College,保良局馬錦明中學,plkmkmc.edu.hk
Po Leung Kuk No.1 W.H. Cheung College,保良局第一張永慶中學,plkno1.edu.hk
Po Leung Kuk Tang Yuk Tien College,保良局董玉娣中學,plktytc.edu.hk
Po Leung Kuk Tong Nai Kan Junior Secondary College,保良局唐乃勤初中書院,plktnkjsc.edu.hk
Po Leung Kuk Wu Chung College,保良局胡忠中學,plkwcc.edu.hk
Po Leung Kuk Yao Ling Sun College,保良局姚連生中學,plkylsc.edu.hk
Po On Commercial Association Wong Siu Ching Secondary School,寶安商會王少清中學,pocawsc.edu.hk
POH 80th Anniversary Tang Ying Hei College,博愛醫院八十週年鄧英喜中學,pohtyh.edu.hk
Pok Oi Hospital Tang Pui King Memorial College,博愛醫院鄧佩瓊紀念中學,tpk.edu.hk
Pooi To Middle School,香港培道中學,pooito.edu.hk
Pope Paul VI College,保祿六世書院,ppaulvi.edu.hk
Precious Blood Secondary School,寶血女子中學,pbss.edu.hk
Pui Ching Middle School,香港培正中學,puiching.edu.hk
Pui Kiu Middle School,培僑中學,pkms.edu.hk
Pui Shing Catholic Secondary School,天主教培聖中學,puishing.edu.hk
Pui Tak Canossian College,嘉諾撒培德書院,ptcc.edu.hk
Pui Ying Secondary School,培英中學,puiying.edu.hk
Queen Elizabeth School Old Students' Association Secondary School,伊利沙伯中學舊生會中學,qos.edu.hk
Queen Elizabeth School Old Students' Association Tong Kwok Wah Sec. Sch.,伊利沙伯中學舊生會湯國華中學,qts.edu.hk
Queen's College,皇仁書院,qc.edu.hk
Queen's College Old Boys' Association Secondary School,皇仁舊生會中學,qcobass.edu.hk
Raimondi College,高主教書院,raimondi.edu.hk
Rhenish Church Pang Hok Ko Memorial College,禮賢會彭學高紀念中學,rcphkmc.edu.hk
S.K.H. All Saints' Middle School,聖公會諸聖中學,skhasms.edu.hk
S.K.H. Bishop Baker Secondary School,聖公會白約翰會督中學,skhbbss.edu.hk
S.K.H. Chan Young Secondary School,聖公會陳融中學,skhcyss.edu.hk
S.K.H. Holy Trinity Church Secondary School,聖公會聖三一堂中學,skhhtcss.edu.hk
S.K.H. Kei Hau Secondary School,聖公會基孝中學,keihau.edu.hk
